trabajo,nivel_educativo,grupo_etario,estado_civil,total_contactos,total_conversiones,tasa_conversion_pct,duracion_media_minutos,promedio_contactos_por_cliente
retired,basic.4y,60+,divorced,103,46,44.66,4.31,1.97
retired,high.school,60+,divorced,22,8,36.36,3.89,2.09
retired,professional.course,60+,divorced,17,6,35.29,6.06,2.71
retired,university.degree,60+,divorced,16,4,25.0,5.32,2.81
retired,basic.4y,60+,married,206,101,49.03,4.68,1.99
retired,basic.6y,60+,married,23,6,26.09,3.62,2.26
retired,basic.9y,60+,married,34,8,23.53,3.56,1.94
retired,high.school,60+,married,81,33,40.74,5.44,2.05
retired,professional.course,60+,married,79,34,43.04,4.17,1.86
retired,Sin Información,60+,married,51,24,47.06,4.88,1.9
retired,university.degree,60+,married,109,43,39.45,4.82,1.94
retired,high.school,60+,single,1,0,0.0,2.27,4.0
self-employed,university.degree,60+,divorced,3,1,33.33,1.53,1.67
self-employed,basic.9y,60+,married,1,0,0.0,0.28,13.0
self-employed,professional.course,60+,married,5,0,0.0,2.82,3.0
self-employed,university.degree,60+,married,10,1,10.0,2.19,2.0
self-employed,basic.9y,60+,single,1,0,0.0,0.18,5.0
services,basic.4y,60+,married,1,0,0.0,12.78,7.0
services,high.school,60+,married,3,0,0.0,2.12,2.33
services,Sin Información,60+,married,4,0,0.0,5.72,1.25
Sin Información,basic.4y,60+,married,2,0,0.0,6.41,1.5
Sin Información,basic.6y,60+,married,1,0,0.0,1.73,7.0
Sin Información,Sin Información,60+,married,11,5,45.45,3.56,2.36
Sin Información,university.degree,60+,married,4,0,0.0,2.68,1.25
Sin Información,Sin Información,60+,single,2,0,0.0,2.04,2.5
technician,professional.course,60+,divorced,6,1,16.67,3.19,2.67
technician,basic.4y,60+,married,2,1,50.0,6.07,4.0
technician,high.school,60+,married,2,2,100.0,6.38,5.5
technician,professional.course,60+,married,18,4,22.22,3.0,2.11
technician,university.degree,60+,married,4,0,0.0,1.03,4.0
unemployed,basic.4y,60+,married,2,1,50.0,8.79,1.5
unemployed,basic.6y,60+,married,1,0,0.0,1.58,1.0
unemployed,high.school,60+,married,2,1,50.0,12.59,1.5
blue-collar,basic.6y,60+,married,1,1,100.0,6.72,1.0
blue-collar,high.school,60+,married,4,1,25.0,4.03,3.0
entrepreneur,university.degree,60+,married,4,3,75.0,6.82,1.0
self-employed,high.school,60+,divorced,1,0,0.0,1.53,1.0
Sin Información,basic.4y,60+,single,3,0,0.0,4.77,1.67
admin.,university.degree,60+,divorced,4,1,25.0,4.25,2.5
entrepreneur,basic.9y,60+,married,1,0,0.0,6.1,2.0
housemaid,professional.course,60+,married,1,1,100.0,2.35,2.0
management,high.school,60+,divorced,1,1,100.0,6.75,1.0
retired,university.degree,60+,single,15,3,20.0,3.38,2.93
Sin Información,professional.course,60+,married,2,0,0.0,4.27,2.0
technician,Sin Información,60+,married,17,7,41.18,3.83,1.76
housemaid,basic.9y,60+,married,1,0,0.0,2.73,1.0
housemaid,Sin Información,60+,married,2,1,50.0,6.61,2.5
management,high.school,60+,married,2,1,50.0,6.75,1.5
unemployed,basic.9y,60+,divorced,1,0,0.0,10.07,2.0
unemployed,university.degree,60+,married,1,0,0.0,4.13,1.0
housemaid,basic.4y,60+,divorced,14,5,35.71,3.7,2.86
retired,basic.9y,60+,Sin Información,2,1,50.0,9.59,2.5
retired,basic.4y,60+,single,4,3,75.0,5.45,2.75
Sin Información,Sin Información,60+,divorced,4,3,75.0,3.03,1.5
unemployed,basic.4y,60+,single,3,1,33.33,13.5,4.33
admin.,basic.4y,60+,married,8,5,62.5,7.84,1.63
management,basic.9y,60+,married,1,0,0.0,1.62,1.0
entrepreneur,high.school,60+,married,3,2,66.67,2.57,2.0
retired,basic.9y,60+,divorced,2,0,0.0,3.78,1.5
retired,Sin Información,60+,single,1,1,100.0,3.13,3.0
housemaid,basic.6y,60+,married,1,0,0.0,2.28,1.0
retired,basic.6y,60+,divorced,6,3,50.0,4.3,1.67
retired,professional.course,60+,single,2,1,50.0,3.39,4.0
management,basic.9y,60+,single,1,0,0.0,1.4,2.0
retired,Sin Información,60+,divorced,8,7,87.5,4.59,1.88
management,professional.course,60+,divorced,1,1,100.0,2.63,2.0
retired,illiterate,60+,married,1,1,100.0,2.08,1.0
retired,basic.9y,60+,single,1,1,100.0,15.92,1.0
